Author (Citation),Sample ID,Total Length (cm),Total Weight (g),Sex Ratio,Age (Years),d13C,d15N,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFBS,PFBA,PFDS,PFDA,PFDoA,PFHpA,PFHxDA,PFHxS,PFHxA,PFNA,PFOS,PFOA,PFPeA,PFTeDA,PFTrDA,PFUnA
#38 Ren et al (2022),LHFO_2017_zoop_500um_5,NA,NA,NA,NA,-37,3.8,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,"Shrimp, water fleas, and allies",Zooplankton,Bulk composite,1,NA,6/21/17,2017,0.085729614,ND,ND,ND,<0.083,ND,ND,0.094302575,ND,0.24861588,2.554742489,0.051437768,ND,<0.081,0.24861588,<0.12
#38 Ren et al (2022),LHFO_243_um_6_21_17,NA,NA,NA,NA,-37,3.8,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,"Shrimp, water fleas, and allies",Zooplankton,Bulk composite,1,NA,6/21/17,2017,0.087553762,ND,ND,ND,<0.083,ND,ND,0.210129029,0.078798386,<0.071,0.936825252,<0.048,ND,<0.081,0.11381989,0.166352148
#38 Ren et al (2022),LHFO_63_um_6_21_17,NA,NA,NA,NA,-37,3.8,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,"Shrimp, water fleas, and allies",Zooplankton,Bulk composite,1,NA,6/21/17,2017,0.094574449,ND,ND,ND,ND,ND,ND,<0.051,<0.059,ND,0.126099266,<0.048,ND,ND,<0.097,ND
#38 Ren et al (2022),LHLakeTrout20170809F001,72,3779,1,9,-22,12.5,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,Pisces,Lake trout,Whole fish homogenate,1,1,10/26/17,2017,<0.052,ND,ND,1.023912427,0.69310995,ND,ND,0.401688721,ND,0.960902431,10.95586297,ND,<0.03,0.157524989,1.724898627,2.37075108
#38 Ren et al (2022),LHLakeTrout20170809F002,63.5,2627,0,8,-22,12.5,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,Pisces,Lake trout,Whole fish homogenate,1,1,10/26/17,2017,0.101711491,<0.021,ND,0.915403423,0.584841076,ND,ND,0.372942135,0.796740016,0.805215974,12.03585982,<0.048,0.491605542,0.203422983,1.559576202,1.95794621
#38 Ren et al (2022),LHLakeTrout20170809F003,71.5,3613,0,10,-22,12.5,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,Pisces,Lake trout,Whole fish homogenate,1,1,10/26/17,2017,0.187590048,ND,<0.12,0.707726092,0.494555582,ND,ND,0.144955947,ND,0.468975121,7.836147934,<0.048,0.520136043,0.22169733,1.415452184,1.99527597
#38 Ren et al (2022),LHLakeTrout20170809F004,67,3217,0,12,-22,12.5,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,Pisces,Lake trout,Whole fish homogenate,1,1,10/26/17,2017,0.120823815,ND,<0.12,0.96659052,0.491350181,ND,ND,0.24164763,0.749107653,0.918260994,9.714234723,ND,0.193318104,0.177208262,1.184073387,1.933181039
#38 Ren et al (2022),LHLakeTrout20170809F005,58.5,2315,0,6,-22,12.5,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,Pisces,Lake trout,Whole fish homogenate,1,1,10/26/17,2017,0.091893933,ND,<0.12,1.477960752,0.689204496,0.490100975,ND,0.206761349,ND,1.684722101,16.50261876,0.153156555,0.16847221,0.252708315,1.72301124,2.825738433
#38 Ren et al (2022),LHLakeTrout20170809F006,70,3348,1,9,-22,12.5,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,Pisces,Lake trout,Whole fish homogenate,1,1,10/26/17,2017,<0.052,ND,0.144497208,1.346105572,0.638829763,ND,<0.11,0.600804182,ND,2.190273474,17.91765383,<0.048,ND,0.250968836,1.703546035,2.266324636
#38 Ren et al (2022),LHLakeTrout20170809F007,65.6,3371,1,9,-22,12.5,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,Pisces,Lake trout,Whole fish homogenate,1,1,10/26/17,2017,<0.052,ND,ND,1.470095971,0.953998449,ND,<0.11,0.304966717,ND,0.789785601,11.81550538,ND,0.086016254,0.430081268,3.057486833,3.182601384
#38 Ren et al (2022),LHLakeTrout20170809F008,82,4850,0,19,-22,12.5,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,Pisces,Lake trout,Whole fish homogenate,1,1,10/26/17,2017,0.072133654,ND,0.328608867,20.19742302,5.995108102,ND,ND,2.604826381,ND,38.41517799,78.64171216,1.811356191,0.208386111,1.025900852,11.02843416,38.7518017
