Author (Citation),Sample ID,Total Length (cm),Sex Ratio,Maturity,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Sampling Year,PFBS,PFHxS,PFOS,PFDS,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFHxDA,PFODA
#49 Conard et al (2022),640F-E,64,NA,NA,Lake Michigan,Kewaunee River,44.45845187,-87.54198355,Pisces,Steelhead trout,Eggs,1,1,2020,0.49,<0.001,55.7,<0.001,<0.395,0.51,<0.088,1.18,<0.291,1.27,0.91,0.83,0.62,0.79,<0.015,<0.034,<0.009
#49 Conard et al (2022),650M,65,0,Adult (Sexually Mature),Lake Michigan,Little Manistee,44.20897457,-86.25841386,Pisces,Coho salmon,Muscle,1,1,2020,1.76,0.48,6.9,<0.001,<0.395,<0.376,<0.088,1.32,<0.291,<0.14,<0.083,<0.065,<0.033,<0.016,<0.015,<0.034,21.98
#49 Conard et al (2022),672M,67.2,0,Adult (Sexually Mature),Lake Michigan,Little Manistee,44.20897457,-86.25841386,Pisces,Coho salmon,Muscle,1,1,2020,32.05,<0.001,23.7,<0.001,<0.395,<0.113,<0.088,1.66,<0.291,<0.14,1.5,<0.065,4.51,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),675F,67.5,1,Adult (Sexually Mature),Lake Michigan,Little Manistee,44.20897457,-86.25841386,Pisces,Steelhead trout,Muscle,1,1,2020,1.66,<0.001,6,<0.001,<0.395,<0.376,<0.088,0.32,<0.291,<0.466,<0.083,<0.065,2.03,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),675F-E,67.5,NA,NA,Lake Michigan,Little Manistee,44.20897457,-86.25841386,Pisces,Steelhead trout,Eggs,1,1,2020,2.13,0.51,110.3,<0.001,<0.395,0.69,<0.088,0.97,<0.291,1.29,1.29,1.18,6.47,0.94,0.43,<0.034,<0.009
#49 Conard et al (2022),676F,67.6,1,Adult (Sexually Mature),Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Chinook salmon,Muscle,1,1,2020,<0.001,<0.001,2.8,<0.001,4.31,2.3,<0.088,12.46,20.02,<0.14,<0.083,<0.065,<0.033,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),676F-E,67.6,NA,NA,Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Chinook salmon,Eggs,1,1,2020,6.35,<0.001,197.1,<0.001,8.69,3.19,27.38,2.16,1.8,<0.14,<0.083,0.51,<0.033,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),696M,69.6,0,Adult (Sexually Mature),Lake Michigan,Little Manistee,44.20897457,-86.25841386,Pisces,Chinook salmon,Muscle,1,1,2020,2.23,<0.001,11,<0.001,<0.395,<0.113,0.89,2.67,<0.291,<0.14,<0.083,<0.065,0.44,<0.016,<0.015,<0.034,0.65
#49 Conard et al (2022),700M,70,0,Adult (Sexually Mature),Lake Michigan,Little Manistee,44.20897457,-86.25841386,Pisces,Chinook salmon,Muscle,1,1,2020,0.67,0.58,2.5,<0.001,2.18,0.38,4.6,1.97,<0.291,<0.14,<0.083,<0.065,<0.033,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),705M,70.5,0,Adult (Sexually Mature),Lake Michigan,Boardman River,44.7201789,-85.61941633,Pisces,Chinook salmon,Muscle,1,1,2020,1.25,<0.001,20.8,<0.001,2.08,0.91,<0.088,1.06,<0.291,<0.466,0.48,<0.215,0.36,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),719F,71.9,1,Adult (Sexually Mature),Lake Michigan,Little Manistee,44.20897457,-86.25841386,Pisces,Chinook salmon,Muscle,1,1,2020,1.05,<0.001,2,<0.001,<1.315,1.85,<0.294,5.99,<0.291,<0.14,<0.277,<0.065,<0.033,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),719F-E,71.9,NA,NA,Lake Michigan,Little Manistee,44.20897457,-86.25841386,Pisces,Chinook salmon,Eggs,1,1,2020,1.12,0.6,105.9,<0.001,21.3,13.25,19.41,3.62,<0.291,1.15,2.03,2.19,5.92,1.03,<0.015,<0.034,<0.009
